state,date,state.1,index,neg,neu,pos,compound
Connecticut,2020-07-24,Connecticut,289271.9032258064,0.0676129032258064,0.890483870967742,0.0419032258064516,-0.0546483870967742
Connecticut,2020-07-25,Connecticut,291130.9166666667,0.0225833333333333,0.90775,0.0696666666666666,0.0991166666666666
Connecticut,2020-07-26,Connecticut,292197.9,0.1081,0.8089000000000001,0.083,-0.0763299999999999
Connecticut,2020-07-27,Connecticut,381592.4565217392,0.0465652173913043,0.8523913043478261,0.1009999999999999,0.0418173913043478
Connecticut,2020-07-28,Connecticut,383494.1909090909,0.0466545454545454,0.8106545454545454,0.1426727272727272,0.1326145454545454
Connecticut,2020-07-29,Connecticut,385880.2358490566,0.0449811320754717,0.8444150943396226,0.1106037735849056,0.1189245283018868
Connecticut,2020-07-30,Connecticut,388558.75,0.0753888888888889,0.8070277777777778,0.1175833333333333,0.0494166666666666
Connecticut,2020-07-31,Connecticut,391000.0161290322,0.1158387096774193,0.7979354838709678,0.086258064516129,-0.0471419354838709
Connecticut,2020-08-01,Connecticut,304780.5,0.0206428571428571,0.8118571428571428,0.1675714285714285,0.2094928571428571
Connecticut,2020-08-02,Connecticut,305857.75,0.0941666666666666,0.7581666666666668,0.1475833333333333,0.0366083333333333
Connecticut,2020-08-03,Connecticut,307078.04,0.06472,0.83548,0.0997599999999999,0.018316
Connecticut,2020-08-04,Connecticut,308942.3571428572,0.0430714285714285,0.8980714285714286,0.0588214285714285,-0.0043607142857142
Connecticut,2020-08-05,Connecticut,311592.1923076923,0.142,0.8157692307692308,0.0422307692307692,-0.1434461538461538
Connecticut,2020-08-06,Connecticut,314198.93548387097,0.0550967741935483,0.8681935483870968,0.0767096774193548,0.0284838709677419
Connecticut,2020-08-07,Connecticut,316377.1,0.04796,0.8628,0.08926,0.0763
Connecticut,2020-08-08,Connecticut,318128.0,0.0631875,0.895125,0.0416875,0.00396875
Connecticut,2020-08-09,Connecticut,319051.3157894737,0.0713157894736842,0.8803684210526316,0.0483157894736842,-0.0459684210526315
Connecticut,2020-08-10,Connecticut,320351.9,0.1143333333333333,0.8145,0.0711333333333333,-0.0709233333333333
Connecticut,2020-08-11,Connecticut,322531.75675675675,0.0501081081081081,0.8829459459459459,0.0669459459459459,0.015754054054054
Connecticut,2020-08-12,Connecticut,324256.93333333335,0.0519333333333333,0.8266666666666667,0.1214,0.0537566666666666
Connecticut,2020-08-13,Connecticut,326820.9166666667,0.1084166666666666,0.819125,0.0725,-0.1028541666666666
Connecticut,2020-08-14,Connecticut,328908.2058823529,0.0561764705882353,0.8618529411764706,0.0819705882352941,0.0444411764705882
Connecticut,2020-08-15,Connecticut,330587.5909090909,0.0603181818181818,0.8571818181818182,0.0825,0.0388636363636363
Connecticut,2020-08-16,Connecticut,331391.0,0.1223636363636363,0.7370909090909091,0.1404545454545454,0.0463545454545454
Connecticut,2020-08-17,Connecticut,332438.84,0.07612,0.84792,0.07596,0.01402
Connecticut,2020-08-18,Connecticut,334631.22857142857,0.0487428571428571,0.9021428571428572,0.0490571428571428,-0.0066685714285714
Connecticut,2020-08-19,Connecticut,336772.0294117647,0.0794705882352941,0.8151176470588235,0.1054117647058823,0.0333558823529411
Connecticut,2020-08-20,Connecticut,339001.3,0.0702,0.8446666666666667,0.0852,0.0171733333333333
Connecticut,2020-08-21,Connecticut,341031.8064516129,0.0614193548387096,0.8488387096774194,0.0897419354838709,-0.0010354838709677
Connecticut,2020-08-22,Connecticut,342548.4,0.0752,0.8800666666666667,0.0447333333333333,-0.0587199999999999
Connecticut,2020-08-23,Connecticut,343598.4285714286,0.1261428571428571,0.8329285714285714,0.0409285714285714,-0.1110857142857142
Connecticut,2020-08-24,Connecticut,345035.6538461539,0.0471153846153846,0.9044615384615384,0.0483846153846153,0.008376923076923
Connecticut,2020-08-25,Connecticut,346721.6216216216,0.0424054054054054,0.8612162162162161,0.0964054054054054,0.078981081081081
Connecticut,2020-08-26,Connecticut,348859.5925925926,0.0793703703703703,0.8414444444444444,0.0791851851851851,0.0022999999999999
Connecticut,2020-08-27,Connecticut,350883.1666666667,0.054,0.8136666666666666,0.1322916666666666,0.1481958333333333
Connecticut,2020-08-28,Connecticut,352761.5333333333,0.0424333333333333,0.8796666666666667,0.0779,0.07055
Connecticut,2020-08-29,Connecticut,354212.8571428572,0.0920714285714285,0.8044285714285715,0.1035,-0.0144928571428571
Connecticut,2020-08-30,Connecticut,354991.5714285714,0.095,0.8424285714285714,0.0625714285714285,-0.0702142857142857
Connecticut,2020-08-31,Connecticut,356256.1666666667,0.0570833333333333,0.8643055555555555,0.0785833333333333,0.0416472222222222
Connecticut,2020-09-01,Connecticut,358089.4,0.0975142857142857,0.8197142857142857,0.0827428571428571,-0.0130914285714285
Connecticut,2020-09-02,Connecticut,360157.5172413793,0.081551724137931,0.8669655172413793,0.0514827586206896,-0.0653275862068965
Connecticut,2020-09-03,Connecticut,362043.7142857143,0.0962,0.8146285714285715,0.0892571428571428,-0.0094742857142857
Connecticut,2020-09-04,Connecticut,364202.5151515152,0.0685454545454545,0.8067878787878787,0.1246969696969697,0.1104818181818181
Connecticut,2020-09-05,Connecticut,365708.13333333336,0.0418,0.8276,0.1306,0.1386333333333333
Connecticut,2020-09-06,Connecticut,366389.875,0.096125,0.8315,0.072375,-0.09395
Connecticut,2020-09-07,Connecticut,367168.0,0.0331578947368421,0.8315263157894737,0.1353157894736842,0.1658157894736842
Connecticut,2020-09-08,Connecticut,368486.6,0.0829999999999999,0.8287428571428571,0.0883142857142857,0.0128542857142857
Connecticut,2020-09-09,Connecticut,370287.4,0.046,0.863,0.091,0.0807
Connecticut,2020-09-10,Connecticut,372169.75,0.0713125,0.82434375,0.10434375,0.0619375
Connecticut,2020-09-11,Connecticut,374122.475,0.078825,0.785825,0.135325,0.11857
Connecticut,2020-09-12,Connecticut,375559.4615384616,0.0287692307692307,0.8665384615384616,0.1046923076923077,0.1452538461538461
Connecticut,2020-09-13,Connecticut,376363.6666666667,0.0507499999999999,0.9008333333333334,0.0484166666666666,0.0175
Connecticut,2020-09-14,Connecticut,377488.7307692308,0.0663076923076923,0.8816538461538462,0.0520384615384615,-0.0079692307692307
Connecticut,2020-09-15,Connecticut,379134.75,0.036590909090909,0.8569545454545455,0.1064545454545454,0.1268704545454545
Connecticut,2020-09-16,Connecticut,381269.6857142857,0.0494,0.8736571428571428,0.0769428571428571,0.06086
Connecticut,2020-09-17,Connecticut,383120.488372093,0.051906976744186,0.8721627906976744,0.0759302325581395,0.0315697674418604
Connecticut,2020-09-18,Connecticut,385014.0294117647,0.0407941176470588,0.8773235294117647,0.0818823529411764,0.0827735294117647
Connecticut,2020-09-19,Connecticut,386521.8947368421,0.026,0.8905263157894736,0.0834210526315789,0.1241052631578947
Connecticut,2020-09-20,Connecticut,387188.7142857143,0.0632857142857142,0.7392857142857142,0.1974285714285714,0.2356
Connecticut,2020-09-21,Connecticut,388194.5161290322,0.0728387096774193,0.835516129032258,0.0916451612903225,0.0036903225806451
Connecticut,2020-09-22,Connecticut,389781.2340425532,0.0633404255319148,0.8221702127659575,0.1144468085106382,0.0639106382978723
Connecticut,2020-09-23,Connecticut,392020.975,0.1028,0.79145,0.10575,0.02667
Connecticut,2020-09-24,Connecticut,393794.57575757575,0.102060606060606,0.7913333333333333,0.1066060606060606,-7.878787878788021e-05
Connecticut,2020-09-25,Connecticut,395537.0,0.0456666666666666,0.8179583333333333,0.136375,0.1690874999999999
Connecticut,2020-09-26,Connecticut,396588.5,0.03075,0.90075,0.0685,0.0576437499999999
Connecticut,2020-09-27,Connecticut,397394.5555555556,0.0683333333333333,0.8392222222222222,0.0924444444444444,0.0451888888888888
Connecticut,2020-09-28,Connecticut,398529.5416666667,0.0739166666666666,0.8442083333333333,0.0818333333333333,0.0033166666666666
Connecticut,2020-09-29,Connecticut,400126.5555555556,0.0832222222222222,0.8023611111111112,0.1143888888888889,0.0520888888888888
Connecticut,2020-09-30,Connecticut,401916.4102564103,0.0686153846153846,0.8588461538461538,0.0725384615384615,0.0035307692307692
Delaware,2020-04-01,Delaware,2099.375,0.14259375,0.78034375,0.07709375,-0.121496875
Delaware,2020-04-02,Delaware,6706.041666666667,0.1087083333333333,0.7966666666666667,0.094625,-0.0598125
Delaware,2020-04-03,Delaware,10949.317073170732,0.0877560975609756,0.7855365853658537,0.1267073170731707,0.0623975609756097
Delaware,2020-04-04,Delaware,14359.5,0.0423888888888888,0.7891666666666667,0.1684444444444444,0.1921277777777778
Delaware,2020-04-05,Delaware,16361.0,0.1491428571428571,0.7483571428571428,0.1025,-0.0993785714285714
Delaware,2020-04-06,Delaware,19126.78260869565,0.0645217391304347,0.8730869565217391,0.0624347826086956,-0.0300130434782608
Delaware,2020-04-07,Delaware,22627.88571428572,0.0982285714285714,0.8117142857142857,0.0900571428571428,0.0113057142857142
Delaware,2020-04-08,Delaware,26870.30769230769,0.0734230769230769,0.8467692307692307,0.0798076923076923,-0.0083923076923076
Delaware,2020-04-09,Delaware,30906.62068965517,0.0740689655172413,0.8103793103448276,0.1155862068965517,0.0602137931034482
