submission_date,state,tot_cases,new_case,tot_death,new_death
11/25/2020,AK,28656,702,185,2
11/26/2020,AK,29292,636,189,4
11/27/2020,AK,30016,724,194,5
11/28/2020,AK,30669,653,200,6
11/29/2020,AK,31308,639,204,4
11/30/2020,AK,31793,485,205,1
12/1/2020,AK,32332,539,208,3
12/2/2020,AK,33027,695,214,6
12/3/2020,AK,33805,778,222,8
12/4/2020,AK,34564,759,223,1
12/5/2020,AK,35449,885,229,6
12/6/2020,AK,36141,692,230,1
12/7/2020,AK,36696,555,233,3
12/8/2020,AK,37254,558,240,7
12/9/2020,AK,37827,573,242,2
12/10/2020,AK,38435,608,247,5
12/11/2020,AK,39032,597,248,1
12/12/2020,AK,39557,525,254,6
12/13/2020,AK,40198,641,257,3
12/14/2020,AK,40604,406,259,2
12/15/2020,AK,40876,272,262,3
12/16/2020,AK,41487,611,263,1
12/17/2020,AK,41847,360,265,2
12/18/2020,AK,42334,487,266,1
12/19/2020,AK,42659,325,267,1
12/20/2020,AK,42839,180,268,1
12/21/2020,AK,42987,148,269,1
12/22/2020,AK,43424,437,269,0
12/23/2020,AK,43786,362,270,1
12/24/2020,AK,44057,271,270,0
12/25/2020,AK,44206,149,270,0
12/26/2020,AK,44394,188,271,1
12/27/2020,AK,44702,308,273,2
12/28/2020,AK,44826,124,274,1
12/29/2020,AK,45033,207,276,2
12/30/2020,AK,45399,366,278,2
12/31/2020,AK,45771,372,281,3
1/1/2021,AK,46241,470,285,4
1/2/2021,AK,46530,289,287,2
1/3/2021,AK,46698,168,289,2
1/4/2021,AK,46912,214,290,1
1/5/2021,AK,47121,209,290,0
1/6/2021,AK,47461,340,293,3
1/7/2021,AK,47798,337,294,1
1/8/2021,AK,48197,399,296,2
1/9/2021,AK,48571,374,297,1
1/10/2021,AK,48819,248,298,1
1/11/2021,AK,48994,175,298,0
1/12/2021,AK,49152,158,298,0
1/13/2021,AK,49446,294,298,0
1/14/2021,AK,49778,332,299,1
1/15/2021,AK,50069,291,300,1
1/16/2021,AK,50264,195,300,0
1/17/2021,AK,50522,258,302,2
1/18/2021,AK,50670,148,302,0
1/19/2021,AK,50797,127,303,1
1/20/2021,AK,50958,161,304,1
1/21/2021,AK,51157,199,304,0
1/22/2021,AK,51422,265,306,2
1/23/2021,AK,51663,241,306,0
1/24/2021,AK,51827,164,307,1
1/25/2021,AK,51908,81,307,0
1/26/2021,AK,51991,83,308,1
1/27/2021,AK,52156,165,308,0
1/28/2021,AK,52330,174,308,0
1/29/2021,AK,52507,177,308,0
1/30/2021,AK,52636,129,308,0
1/31/2021,AK,52762,126,308,0
2/1/2021,AK,52827,65,308,0
2/2/2021,AK,52940,113,308,0
2/3/2021,AK,53116,176,308,0
2/4/2021,AK,53273,157,308,0
2/5/2021,AK,53433,160,308,0
2/6/2021,AK,53557,124,309,1
2/7/2021,AK,53769,212,309,0
2/8/2021,AK,53855,86,309,0
2/9/2021,AK,53961,106,310,1
2/10/2021,AK,54131,170,310,0
2/11/2021,AK,54263,132,310,0
2/12/2021,AK,54394,131,310,0
2/13/2021,AK,54488,94,311,1
2/14/2021,AK,54674,186,312,1
2/15/2021,AK,54758,84,312,0
2/16/2021,AK,54818,60,312,0
2/17/2021,AK,54857,39,313,1
2/18/2021,AK,55069,212,314,1
2/19/2021,AK,55256,187,315,1
2/20/2021,AK,55392,136,318,3
2/21/2021,AK,55505,113,320,2
2/22/2021,AK,55566,61,320,0
2/23/2021,AK,55623,57,322,2
2/24/2021,AK,55800,177,322,0
2/25/2021,AK,55950,150,322,0
2/26/2021,AK,56052,102,322,0
2/27/2021,AK,56212,160,323,1
2/28/2021,AK,56331,119,323,0
3/1/2021,AK,56398,67,325,2
3/2/2021,AK,56523,125,326,1
3/3/2021,AK,56696,173,326,0
3/4/2021,AK,56823,127,326,0
3/5/2021,AK,56959,136,328,2
3/6/2021,AK,57088,129,328,0
3/7/2021,AK,57190,102,328,0
3/8/2021,AK,57280,90,329,1
3/9/2021,AK,57370,90,329,0
3/10/2021,AK,57516,146,330,1
3/11/2021,AK,57731,215,330,0
3/12/2021,AK,57841,110,331,1
3/13/2021,AK,58010,169,331,0
3/14/2021,AK,58117,107,331,0
3/15/2021,AK,58212,95,331,0
3/16/2021,AK,58317,105,331,0
3/17/2021,AK,58493,176,331,0
3/18/2021,AK,58645,152,332,1
3/19/2021,AK,58708,63,332,0
3/20/2021,AK,58893,185,333,1
3/21/2021,AK,59010,117,333,0
3/22/2021,AK,59060,50,333,0
3/23/2021,AK,59233,173,333,0
3/24/2021,AK,59443,210,335,2
3/25/2021,AK,59589,146,335,0
3/26/2021,AK,59766,177,337,2
3/27/2021,AK,59965,199,338,1
3/28/2021,AK,60164,199,338,0
3/29/2021,AK,60293,129,338,0
3/30/2021,AK,60379,86,339,1
3/31/2021,AK,60538,159,340,1
4/1/2021,AK,60768,230,340,0
4/2/2021,AK,60964,196,340,0
4/3/2021,AK,61197,233,340,0
4/4/2021,AK,61329,132,340,0
4/5/2021,AK,61446,117,340,0
4/6/2021,AK,61530,84,340,0
4/7/2021,AK,61747,217,340,0
4/8/2021,AK,61969,222,341,1
4/9/2021,AK,62212,243,341,0
4/10/2021,AK,62391,179,341,0
4/11/2021,AK,62488,97,341,0
4/12/2021,AK,62566,78,341,0
4/13/2021,AK,62698,132,341,0
4/14/2021,AK,62895,197,341,0
4/15/2021,AK,63081,186,341,0
4/16/2021,AK,63262,181,341,0
4/17/2021,AK,63439,177,341,0
4/18/2021,AK,63580,141,341,0
4/19/2021,AK,63696,116,341,0
4/20/2021,AK,63794,98,341,0
4/21/2021,AK,64007,213,341,0
4/22/2021,AK,64225,218,341,0
4/23/2021,AK,64367,142,341,0
4/24/2021,AK,64503,136,341,0
4/25/2021,AK,64703,200,341,0
4/26/2021,AK,64786,83,341,0
4/27/2021,AK,64916,130,341,0
4/28/2021,AK,65100,184,341,0
4/29/2021,AK,65266,166,341,0
4/30/2021,AK,65409,143,341,0
5/1/2021,AK,65498,89,341,0
5/2/2021,AK,65587,89,341,0
5/3/2021,AK,65678,91,342,1
5/4/2021,AK,65762,84,342,0
5/5/2021,AK,65908,146,342,0
5/6/2021,AK,66004,96,343,1
5/7/2021,AK,66120,116,343,0
5/8/2021,AK,66196,76,343,0
5/9/2021,AK,66272,76,343,0
5/10/2021,AK,66350,78,343,0
5/11/2021,AK,66407,57,345,2
5/12/2021,AK,66491,84,347,2
5/13/2021,AK,66574,83,347,0
5/14/2021,AK,66683,109,347,0
5/15/2021,AK,66726,43,347,0
5/16/2021,AK,66769,43,347,0
5/17/2021,AK,66814,45,358,11
5/18/2021,AK,66867,53,362,4
5/19/2021,AK,66963,96,362,0
5/20/2021,AK,67043,80,362,0
5/21/2021,AK,67107,64,362,0
5/22/2021,AK,67137,30,362,0
5/23/2021,AK,67167,30,362,0
5/24/2021,AK,67199,32,362,0
5/25/2021,AK,67252,53,362,0
5/26/2021,AK,67317,65,362,0
5/27/2021,AK,67357,40,362,0
5/28/2021,AK,67403,46,362,0
5/29/2021,AK,67429,26,362,0
5/30/2021,AK,67455,26,362,0
5/31/2021,AK,67481,26,362,0
6/1/2021,AK,67507,26,362,0
6/2/2021,AK,67541,34,362,0
6/3/2021,AK,67591,50,362,0
6/4/2021,AK,67648,57,362,0
6/5/2021,AK,67664,16,362,0
6/6/2021,AK,67680,16,362,0
6/7/2021,AK,67698,18,362,0
6/8/2021,AK,67730,32,362,0
6/9/2021,AK,67763,33,362,0
6/10/2021,AK,67793,30,362,0
6/11/2021,AK,67823,30,366,4
6/12/2021,AK,67843,20,366,0
6/13/2021,AK,67863,20,366,0
6/14/2021,AK,67885,22,366,0
6/15/2021,AK,67910,25,366,0
6/16/2021,AK,67936,26,366,0
6/17/2021,AK,67959,23,366,0
6/18/2021,AK,67982,23,366,0
6/19/2021,AK,68005,23,366,0
6/20/2021,AK,68031,26,366,0
6/21/2021,AK,68112,81,366,0
6/22/2021,AK,68145,33,366,0
6/23/2021,AK,68179,34,367,1
6/24/2021,AK,68198,19,367,0
6/25/2021,AK,68218,20,367,0
6/26/2021,AK,68245,27,367,0
6/27/2021,AK,68272,27,367,0
6/28/2021,AK,68300,28,367,0
6/29/2021,AK,68339,39,367,0
