119,11,281,32,1393,438,1379,138,1063,419,14,11,1293,528,122,38,94,761,33,726,3073,903,178,146,91,12,61,116,44,3563,83,4022,317,15,372,128,76,1763,392,266,90,198,890,104,30,568,458,17,153,8
112,15,146,73,1462,437,525,108,809,157,4,51,1672,493,77,98,75,581,17,1242,1557,733,107,140,93,17,101,136,56,3699,71,3336,172,15,268,70,80,1180,280,142,104,131,923,132,18,670,237,20,120,9
260,5,163,103,1047,383,1346,146,922,1086,6,28,1173,308,123,-1,124,421,65,536,1392,1165,74,217,240,4,54,135,35,2734,100,2782,112,23,457,45,57,1311,289,116,138,66,422,54,18,424,265,15,87,103
176,8,104,88,974,293,608,195,592,844,11,0,1222,291,189,101,124,502,36,560,1296,1056,114,219,198,6,48,117,71,4240,62,3475,282,10,305,108,49,1096,184,123,300,351,718,61,5,329,248,68,127,121
165,8,156,85,1509,316,766,62,900,686,11,101,1346,428,96,17,104,433,36,752,1755,1055,53,238,206,11,66,123,48,2206,77,3734,284,24,511,67,30,1233,268,129,0,237,868,184,9,389,219,24,166,-101
211,7,272,52,1484,421,1129,113,1198,989,9,22,1140,587,146,94,97,581,26,788,2263,1135,151,192,200,7,90,110,72,4287,113,3661,377,28,623,90,73,1326,317,95,143,301,963,123,7,602,323,21,154,8
206,9,273,67,1661,352,925,286,1080,908,20,46,1842,612,191,172,114,586,31,0,2221,1019,161,216,163,0,98,203,76,3150,114,3152,541,46,693,70,49,1824,384,267,100,229,916,45,11,562,262,36,170,11
193,5,212,75,1663,422,741,118,741,352,8,13,1585,487,181,51,126,462,20,736,1970,833,39,172,149,4,165,102,55,2969,87,3258,258,89,1115,93,59,1791,284,159,131,301,889,141,9,0,354,50,154,11
126,5,210,4,1584,271,412,202,711,505,4,4,1197,569,389,38,137,348,20,1376,1705,616,257,181,133,7,148,102,50,3865,47,2802,139,57,1380,89,66,1311,285,161,93,335,663,205,11,937,245,38,147,3
291,2,135,183,1200,316,1853,188,745,843,2,64,1151,476,257,137,100,595,8,509,1566,1133,97,314,253,4,166,102,55,3505,126,2356,121,42,1317,62,46,943,340,138,50,199,535,108,3,640,275,39,153,2
256,8,187,298,1070,301,545,278,859,612,6,30,1551,411,482,39,213,331,13,582,1556,1402,154,261,221,2,108,107,44,3581,101,1659,438,17,806,157,46,1246,378,66,69,680,738,110,2,0,236,12,121,13
244,6,208,19,1898,466,2109,128,697,897,5,36,2049,341,107,186,157,463,19,962,1745,1479,0,279,228,3,60,144,97,3478,138,2419,463,35,392,81,57,1296,381,181,104,354,873,171,6,1368,204,49,225,6
203,2,310,184,1666,404,631,143,1212,931,3,34,1826,601,176,271,179,481,30,879,3079,1284,464,235,225,2,393,127,82,4124,169,2821,437,30,577,87,68,1824,389,143,98,395,875,182,3,596,195,18,207,6
210,2,276,345,1747,971,821,136,734,681,2,34,2724,641,521,295,211,342,28,0,4946,1380,0,277,205,0,320,190,50,2207,142,3512,507,39,475,89,50,1815,423,147,84,346,862,60,3,772,271,29,304,20
215,0,235,99,1835,710,661,456,794,686,2,17,2119,715,647,279,202,372,25,1150,2379,693,261,193,118,1,310,141,67,3327,139,5913,576,55,418,102,76,1433,408,174,107,445,967,166,8,0,310,15,331,18
172,2,246,32,2007,491,687,130,519,271,1,10,2126,617,383,118,132,320,33,1721,1590,657,156,172,72,4,329,63,77,3515,66,2757,255,64,376,62,58,1328,297,256,65,208,858,266,6,1169,239,28,224,11
331,4,190,114,1601,436,728,403,747,774,1,20,1980,949,393,154,127,279,17,626,1524,1261,579,318,270,2,342,88,74,2150,97,1720,120,75,362,57,43,952,285,151,33,113,666,93,3,804,230,24,170,18
310,6,232,66,1255,495,315,108,343,582,4,35,2219,627,508,163,254,218,16,736,1840,1218,464,282,366,0,14,122,72,2669,151,1261,559,49,444,189,31,1398,203,151,68,417,874,116,5,622,156,18,208,16
262,4,254,71,2234,436,455,38,514,854,4,32,2253,594,467,247,208,374,39,893,1963,1458,491,301,307,0,426,86,44,2408,239,2082,432,42,534,148,61,1147,349,110,60,1063,883,182,0,885,233,14,231,8
296,0,446,63,2097,847,933,196,976,537,1,31,2563,653,302,500,311,341,28,1730,1940,1576,0,247,263,2,514,109,92,2388,198,2044,436,34,724,98,64,1597,355,117,76,900,1033,148,4,1055,274,16,334,15
348,9,314,55,2019,460,1064,131,703,935,0,20,3137,795,739,211,232,667,0,0,2106,1171,594,283,288,0,512,220,164,2552,102,1730,461,40,716,110,69,1463,346,203,76,362,1142,75,13,0,297,26,460,7
133,1,402,62,1919,465,523,151,631,381,3,26,2450,665,757,297,135,429,29,1001,1952,686,498,194,68,2,315,84,119,2531,219,1999,450,46,592,116,56,1403,294,160,63,383,1293,153,4,830,377,33,346,13
169,3,276,59,2222,410,25,302,766,284,1,0,2944,638,528,284,124,243,53,1935,1824,501,1010,148,68,2,349,115,89,3028,118,1461,182,38,579,41,45,1073,191,199,43,162,1026,280,11,1761,215,11,304,7
